wallet,transaction_count,total_eth_transacted,unique_contracts_interacted
0x4814be124d7fe3b240eb46061f7ddfab468fe122,100,9.089578290039018,33
0x4839e666e2baf12a51bf004392b35972eeddeabf,20,1.9362813550000002,7
0x4c4d05fe859279c91b074429b5fc451182cec745,4,0.0201884992,3
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,100,10.391904011186055,45
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,5,0.023655759999999998,4
0x4e61251336c32e4fe6bfd5fab014846599321389,5,0.022191884000000002,4
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,6,0.0186,4
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,43,0.3948900016833804,17
0x54e19653be9d4143b08994906be0e27555e8834d,7,0.0,2
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,5,0.02886863,4
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,8,0.0301149208,6
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,11,0.37946163911712044,5
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,5,0.028455453350854136,4
0x58d68d4bcf9725e40353379cec92b90332561683,55,1.1659144403706971,22
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,4,0.0186,3
0x612a3500559be7be7703de6dc397afb541a16f7f,100,17.359433828068607,50
0x623af911f493747c216ad389c7805a37019c662d,70,1097.53736454,50
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,15,1.925713329699542,10
0x6d69ca3711e504658977367e13c300ab198379f1,5,0.030379562,4
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,16,0.074192321,6
0x70c1864282599a762c674dd9d567b37e13bce755,5,0.0313858,4
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,100,5.664545321825448,46
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,4,0.0186,3
0x767055590c73b7d2aaa6219da13807c493f91a20,4,0.0186,3
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,9,10.0,4
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,11,0.040350272199999995,7
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,7,0.02960623709557309,4
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,4,0.0309126855,3
0x7de76a449cf60ea3e111ff18b28e516d89532152,4,0.0186,3
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,15,3.95733,9
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,4,0.016,3
0x83ea74c67d393c6894c34c464657bda2183a2f1a,7,0.032775392699999996,6
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,24,2.6172317185776324,9
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,4,0.0186,3
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,5,0.0336186005,4
0x880a0af12da55df1197f41697c1a1b61670ed410,17,0.16334551194505406,7
0x8aaece100580b749a20f8ce30338c4e0770b65ed,5,0.024804634681052,4
0x8be38ea2b22b706aef313c2de81f7d179024dd30,33,0.47086791834191716,11
0x8d900f213db5205c529aaba5d10e71a0ed2646db,15,0.5229532096,7
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,4,0.0186,3
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,5,0.02038512,4
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,100,109.62723316183948,15
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,3,0.0334585729,3
0x9a363adc5d382c04d36b09158286328f75672098,12,0.07977171845,9
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,4,0.030817452569791657,3
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,60,14.099932726016709,20
0x9e6ec4e98793970a1307262ba68d37594e58cd78,0,0.0,0
0xa7e94d933eb0c439dda357f61244a485246e97b8,4,0.44,3
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,100,12.320608468421835,61
0xa98dc64bb42575efec7d1e4560c029231ce5da51,11,0.07719278,6
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,8,0.025465492699999998,5
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,5,0.02191922662019749,4
0xb57297c5d02def954794e593db93d0a302e43e5c,11,0.061921435,6
0xbd4a00764217c13a246f86db58d74541a0c3972a,100,500.0000000002,58
0xc179d55f7e00e789915760f7d260a1bf6285278b,12,0.167225858,7
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,95,21.365084066982284,32
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,100,47.96635496955491,27
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,5,0.0235726931,4
0xcf0033bf27804640e5339e06443e208db5870dd2,5,0.02907615,4
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,6,0.0213198,4
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,5,0.0330207557,4
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,6,0.0243271905,5
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,8,0.057000605,5
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,100,4.778135008271935,22
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,4,0.0186,3
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,12,0.1730543812,6
0xebb8629e8a3ec86cf90cb7600264415640834483,8,0.0967108544806151,4
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,5,0.007760666,4
0xf10fd8921019615a856c1e95c7cd3632de34edc4,76,6.152284646530474,38
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,100,219.2623262,44
0xf54f36bca969800fd7d63a68029561309938c09b,4,0.016,3
0xf60304b534f74977e159b2e159e135475c245526,18,0.0,5
0xf67e8e5805835465f7eba988259db882ab726800,4,0.016,3
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,4,0.0186,3
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,13,0.40100389000000003,6
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,4,0.0186,3
